,id,name,city,cuisine,rating
6184,6184,Le Pantalon,Paris,pub,4.0
6186,6186,Le Rugby,Paris,"bar, pub, french",4.0
6187,6187,Le Manguier,Paris,african,4.0
6189,6189,Wakoya,Paris,japanese,4.5
6190,6190,Pietro,Paris,"italian, pizza, mediterranean",4.0
6191,6191,Asahi,Paris,"japanese, sushi",4.0
6192,6192,La Cuisine,Paris,french,4.5
6194,6194,Canon des Gobelins,Paris,"french, bar, european",3.5
6195,6195,Bat Un Kare,Paris,cajun & creole,5.0
6196,6196,Le Greffulhe,Paris,"french, bar, european",3.5
6197,6197,O'Zaromes,Paris,french,4.0
6198,6198,Bocamexa,Paris,vegetarian friendly,4.0
6199,6199,Kyoto,Paris,sushi,4.0
6200,6200,L'Angle,Paris,french,4.0
6201,6201,Il Conte,Paris,"italian, pizza, european, kosher, vegetarian friendly",3.5
6202,6202,New saigon,Paris,vietnamese,4.0
6203,6203,Le Petit Centre du Monde,Paris,"vietnamese, asian, vegetarian friendly, vegan options",4.0
6204,6204,Comptoirs Richard,Paris,cafe,4.5
6205,6205,"Aname Batignolles, Le Bistrot Vietnamien",Paris,"asian, vietnamese",4.0
6206,6206,Restaurant japonais Ai,Paris,japanese,4.0
6208,6208,Le Grand Cerf,Paris,"french, bar, cafe, european, vegetarian friendly",3.5
6210,6210,Le Brasier,Paris,french,3.5
6212,6212,Restaurant Da Alberto,Paris,italian,4.0
6213,6213,Le Foyer de Chaillot,Paris,"french, gastropub",4.0
6214,6214,IL Piccolo,Paris,italian,4.0
6215,6215,Le Relais du Vin,Paris,french,4.0
6216,6216,Cafe Le Triomphe,Paris,"french, bar, cafe, european, pub, vegetarian friendly",3.5
6217,6217,Marmite de Boeuf,Paris,chinese,4.0
6218,6218,Formaticus,Paris,french,4.0
6219,6219,la Karambole,Paris,"french, bar",4.0
6220,6220,Antoine de Montmartre,Paris,"french, european",4.0
6222,6222,Le Bar Long,Paris,"french, european",3.5
6223,6223,Ogimi,Paris,"chinese, japanese, asian",3.5
6224,6224,Label Ferme,Paris,french,4.0
6225,6225,El Picador,Paris,"mediterranean, spanish",3.5
6226,6226,Le Berkeley,Paris,"french, european",3.5
6228,6228,Yuzu,Paris,"japanese, sushi, asian",4.0
6229,6229,KVK,Paris,italian,4.0
6230,6230,Shokado,Paris,japanese,4.0
6232,6232,Da Rosa Vendome,Paris,"mediterranean, european, vegetarian friendly",3.5
6233,6233,Coffee Parisien,Paris,"american, vegetarian friendly",3.5
6234,6234,Cafe Montparnasse,Paris,"french, bar, cafe, european, pub, vegetarian friendly",4.0
6235,6235,Les Chimeres,Paris,"french, european",4.0
6236,6236,The Sunken Chip,Paris,british,4.0
6237,6237,Alba Ristorante,Paris,"italian, pizza",4.5
6238,6238,Pizza Trionfo La Bedaine,Paris,"italian, french, pizza, vegetarian friendly",4.0
6239,6239,NAM CHOK THAI FOOD,Paris,thai,4.5
6240,6240,Le Mirabeau,Paris,thai,4.5
6241,6241,Pizzeria Lucania,Paris,pizza,4.0
6245,6245,Casa Gardelli,Paris,italian,5.0
