,id,name,city,rating,Reviews
2319,2319,Creperie Elo Bastille,Paris,4.5,fantastic delicious friendly quaint great little creperie
2320,2320,Cantinella,Paris,4.5,wonderful relaxing evening. great food! su... probably best pizza paris :)
2321,2321,Dominique Bouchet,Paris,4.5,lovely ambience modern french delicious! anniversary dinner
2322,2322,Auto Passion Cafe,Paris,4.0,special interest cafe pretty good f... nice choice fast food
2323,2323,Le Pellicano,Paris,4.0,perfect italian surprise find
2324,2324,Les Garnements Bistro Resto,Paris,4.0,local place local atmosphere highly recommended
2325,2325,Settebello,Paris,4.5,great atmosphere good food real italian heart paris
2326,2326,Les Puces des Batignolles,Paris,4.0,best risotto great bar restaurant
2327,2327,Bagel & Cream,Paris,4.5,love great bagels!!!
2328,2328,Restaurant le Moliere,Paris,4.0,casual dinner great food good service
2329,2329,Royale Ristretto,Paris,4.5,excellent lunch spot near place des vosges veggie treat
2330,2330,Come In,Paris,4.5,bonne table pr ce nouveau resto fresh healthy french cuisine marai...
2331,2331,Mure,Paris,4.5,delicious healthy great service! cosy restaurant healthy food lit...
2332,2332,Chez Davido,Paris,4.5,lovely small place value money reviews misleading
2333,2333,Le Cafe Cacahuete,Paris,4.0,nice atmosphere great food wine holiday
2334,2334,L'Avant-Gout,Paris,4.0,creative - popcorn fish! delicious affordable lunch
2335,2335,Baan Thais,Paris,4.5,highly recommended takes find....use google maps...
2336,2336,Happy Deli,Paris,4.5,excellent salmon bibimpap amazing!
2337,2337,L'Empreinte,Paris,4.5,hidden gem beaten path xive pleasant suprise
2338,2338,XVII sur VIN,Paris,4.5,wondeful french cuisine excellent bistro
2339,2339,La Librairie,Paris,4.0,great find 16eme lovely lunch fun place
2340,2340,Bistrot Bassano,Paris,4.5,great family run greek restaurant large servings greek standards
2341,2341,La fourmi ailee,Paris,4.0,tasty bistro good meal notre dame
2342,2342,Keziah,Paris,4.5,great food great service! disappointing
2343,2343,Wynwood,Paris,4.5,amazing find! dont miss!
2344,2344,Le Griffonnier,Paris,4.5,way yes
2345,2345,el unico,Paris,4.0,fantastic friday night supper fantastic steaks friendly staff!
2346,2346,Unico Rive-Gauche,Paris,4.0,nice argentinean steaks good steak!
2347,2347,Creperie Manoir Breton,Paris,3.5,nice outdoor seating ok crepes ok service
2348,2348,Terre de Truffe,Paris,4.0,something different special disappointing
2349,2349,Au Passage,Paris,4.0,local / local excellent wine list great meal.
2350,2350,Paradis Latin Cabaret,Paris,4.0,expect cabaret? fun evening
2351,2351,BRASILEIRINHO Paris,Paris,4.5,nice service + tasty feijoada! authentic brazilian feijoada & excellent...
2352,2352,Carrousel Francais,Paris,4.5,first experience wine bar n... lovely pre dinner drinks starter
2353,2353,Yasube,Paris,4.0,great must
2354,2354,Otakuni,Paris,4.5,nice japanese restaurant favourite sushi paris
2355,2355,Les Delices d'Aphrodite,Paris,4.0,great greek food. tasty food tender souvlaki
2356,2356,La Fontaine Gaillon,Paris,4.0,thankful dad paid! nice restaurant
2357,2357,Les Tontons,Paris,4.0,amazing paris great tartare restaurant
2358,2358,Le tour du Liban,Paris,4.5,best meal paris great well priced phoencian experience
2359,2359,Creperie Beaubourg,Paris,4.0,like crepes great value lunch
2360,2360,Le Vauban,Paris,4.0,lovely traditional brasserie next les i... les invalides top class lunch in...
2361,2361,Factory and Co Bercy Village,Paris,4.0,great burgers & fries nice burgers amazing desserts!
2362,2362,Le Cheval de Troie,Paris,4.0,shood low quality food
2363,2363,Asia Bo Bun,Paris,4.5,good vietnamese food near bastille amazing food
2364,2364,Benedetto ristorante Italiano,Paris,4.0,excellent italian restaurant quartier l... fantastic family restaurant
2365,2365,Osteria Del Passepartout,Paris,4.0,looking little italy
2366,2366,La Maree Jeanne,Paris,4.0,excellent seafood wine atmosphere great fun good fish
2367,2367,MARCELLO Ristorante,Paris,4.0,good view good food great italian paris near eiffel tower
2368,2368,Les Filaos,Paris,4.5,limited menu average best
2369,2369,Kifune,Paris,4.5,real japanese true japanese restaurant japanese che...
2370,2370,Roger de Beyrouth,Paris,4.5,simple lebanese restaurant latin qu... great hummus baba
2371,2371,Happy End Diner,Paris,4.5,brilliant burgers! great end day!
2372,2372,Le Kleber Brasserie,Paris,3.5,nom. try profiteroles! last night paris
2373,2373,VG Patisserie,Paris,4.5,authentic french all-vegan delicious af... worth
2374,2374,Itegue Taitu,Paris,4.5,delicious delicious!
2375,2375,Au fond du bar,Paris,4.5,nice palce! i\m fond au fond...
2376,2376,L'Olivier du Marais,Paris,4.5,excellent! dont miss it! great place
2377,2377,La Sourdiere by Yvan,Paris,4.5,stopped drink stay for... good food fair prices laid back
2378,2378,Casa Murat,Paris,4.5,went daughter vegetation... great food
2379,2379,Non Solo Pizze,Paris,4.0,one worse pizzas... wood fired high quality!
2380,2380,Un Jour a Peyrassol,Paris,4.5,great place fantastic food!! like truffles....
2381,2381,Creperie Pen ty,Paris,4.0,breton crepes paris nice crepes
2382,2382,L'Esprit Tchai,Paris,4.5,healthy food excellent food service
2383,2383,So Nat,Paris,4.5,best lunch option paris
2384,2384,Le Petit Pascal,Paris,4.5,perfect experience intimate brasserie offering relatively sta...
2385,2385,Welwitsch Restaurant,Paris,5.0,brunch home made
2386,2386,Korat,Paris,4.5,pleasant restaurant best restaurant area
2387,2387,Le 17.45,Paris,4.5,best σ╟\xa0planche\xa0σ╚ concept paris great food staff
2388,2388,Louvre Bouteille,Paris,4.5,magnificent fabulous find
2389,2389,Gusto Italia,Paris,4.0,pleasant surprise still thinking linguini wild...
2390,2390,Sauvage,Paris,4.5,wonderful food missed! friendly knowledgeable!
2391,2391,Villa Medici da Napoli,Paris,4.0,solid italian food 6th near le bon... decent food lousy service
2392,2392,La Capannina,Paris,4.0,wonderful spot hill the... delicious food comfy place
2393,2393,Quedubon,Paris,4.0,quedubon... wow isnt enough definitely worth trip
2394,2394,Poppy's Cafe,Paris,4.5,cosy & tasty ! delicious healthy!
2395,2395,Casa Cosa,Paris,4.0,great food appalling food service
2396,2396,Carte Blanche,Paris,4.0,lovely food attentive service gem baltimore hotel
2397,2397,Kinugawa Vendome,Paris,4.0,swanky sexy sushi fantastic. period.
2398,2398,L'EtreAnge,Paris,4.5,perfect sunday brunch un vrai bijou
2399,2399,KBG Korean Barbecue Grill,Paris,4.0,amazing korean-inspired dining experience excellent - wholesome amazing yummy food
2400,2400,Kasha,Paris,5.0,best crepes paris informal fabulous
2401,2401,ZITI,Paris,4.0,relaxed lunch lovely meal
2402,2402,Timgad,Paris,4.0,great couscous beautiful restaurant stay away
2403,2403,Big Fernand,Paris,4.0,size meat appropriate great burgers
2404,2404,Il Fico,Paris,4.5,simply excellent cool
2405,2405,Kathmandu,Paris,4.0,authentic food worth seeking
2406,2406,Jazz Club Meridien Etoile,Paris,4.0,cool jazz club lovely ambiance nice food
2407,2407,Le Caviste Bio,Paris,4.5,great restaurant experience amazing experience amazing food
2408,2408,Ty Yann Creperie,Paris,4.5,great crepes! crepes crepes crepes
2409,2409,Asian Wok,Paris,4.0,okay thai busy neighbourhood nice
2410,2410,Pooja Namo,Paris,4.0,authentic indian taste paris nice indian restaurant paris
2411,2411,Swagat,Paris,4.5,indian food one best indian food france
2412,2412,Le Petit Machon,Paris,4.0,lovely little french corner enjoyable french meal near louvre.
2413,2413,Sous Les Cerisiers,Paris,4.5,wonderful little restaurant right next to... friends
2414,2414,Charivari,Paris,4.0,great steak tartare good breakfast good coffee great service
2415,2415,La Maison,Paris,4.0,french real french fare
2416,2416,Kavod,Paris,4.0,delicious food & great atmoshphere great meal good value
2417,2417,Nanou bar,Paris,5.0,awesome place special place eat
2418,2418,Floquifil,Paris,4.5,always fun go excellent tucked away parisien gem!
2419,2419,Lepic Assiette,Paris,4.5,gluten free crepes!!! nice variety crepes
2420,2420,Pizza Oskian,Paris,4.0,pizza fantastic. nice fresh pizza
2421,2421,Chez Vincent,Paris,4.0,excellent restaurant! excellent reasonably priced italian
2422,2422,Le Vingt Heures Vin,Paris,4.5,lovely place delicious cheese! nice time
2423,2423,Auberge de Venise Montparnasse,Paris,3.5,good food good value! pleasant place
2424,2424,Thai Express,Paris,4.5,favorite thai restaurant paris
2425,2425,Tashi Tagye,Paris,4.5,good vegetarian food tashi tague - eight lucky signs tib...
2426,2426,W For Wok,Paris,4.5,tasty fresh asian street food definitely wok it!
2427,2427,L'etoile du Liban,Paris,4.5,okay great takeout lebanese food excellent
2428,2428,Dirty Dick,Paris,4.0,fun swinging night good cocktails cool ambiance
2429,2429,L'Affable,Paris,4.0,nice resto nice menu...but high flyer pleasant
2430,2430,Restaurant Miroir,Paris,4.0,local food little atmosphere stale bread tired d...
2431,2431,Le Bouche a Oreilles,Paris,4.0,casual french fresh excellent local restaurant
2432,2432,Swann et Vincent,Paris,4.5,excellent italian restaurant ! tiny amazing homemade italian
